Name,Position,College,Conference,Height,Weight,Age,40-Yard,Vertical,Bench,Broad Jump,3-Cone,20 Y Shuttle,Throwing Velocity (mph),Std. Throwing Score
Deon Cain,WR,Clemson,ACC,6-2,202,22,4.43,33.5,11,115,6.71,4.37,N/A,N/A
Jacob Martin,LB,Temple,AAC,6-2,242,22,4.59,36.5,20,122,6.98,4.25,N/A,N/A
Ray-Ray McCloud,WR,Clemson,ACC,5-9,190,21,4.53,34.5,13,113,6.79,4.12,N/A,N/A
Simeon Thomas,CB,Louisiana,Sun Belt,6-3,197,24,4.62,33.5,10,119,6.91,4.22,N/A,N/A
Kamrin Moore,CB,Boston College,ACC,5-11,200,21,4.49,36,12,122,6.82,4.12,N/A,N/A
DeShon Elliott,S,Texas,BIG 12,6-2,205,21,4.58,36,15,121,6.98,4.25,N/A,N/A
Dylan Cantrell,WR,Texas Tech,BIG 12,6-3,226,24,4.59,38.5,18,130,6.56,4.03,N/A,N/A
Jamil Demby,T,Maine,CAA,6-4,319,22,5.58,23.5,17,98,7.86,4.95,N/A,N/A
Chris Covington,LB,Indiana,Big 10,6-2,245,22,4.78,33,23,118,7.08,4.32,N/A,N/A
Russell Gage,WR,LSU,SEC,6-0,180,22,4.47,37,10,126,6.78,4.1,N/A,N/A
Sebastian Joseph-Day,DT,Rutgers,Big 10,6-4,310,23,5.12,28.5,22,106,7.48,4.58,N/A,N/A
Tremon Smith,WR,Central Arkansas,STHLND,5-11,190,22,4.46,37,8,128,6.78,4.1,N/A,N/A
Shaun Dion Hamilton,LB,Alabama,SEC,6-1,240,22,4.72,32.5,19,115,7.2,4.4,N/A,N/A
Kahlil McKenzie,DT,Tennessee,SEC,6-5,314,21,5.15,29.5,26,105,7.94,4.68,N/A,N/A
Luke Falk,QB,Washington State,PAC 12,6-4,215,23,4.97,26.5,N/A,103,7.06,4.44,52,0.55
Foyesade Oluokun,S,Yale,IVY,6-2,230,23,4.52,36.5,18,122,6.89,4.18,N/A,N/A
Boston Scott,RB,Louisiana Tech,C-USA,5-6,203,23,4.48,36,14,126,6.78,4.08,N/A,N/A
Jack Cichy,ILB,Wisconsin,Big 10,6-2,238,23,4.72,33,18,116,6.95,4.28,N/A,N/A
Tanner Lee,QB,Nebraska,Big 10,6-4,218,23,4.98,32,N/A,115,7,4.41,N/A,N/A
Trenton Cannon,RB,Virginia Union,CIAA,5-11,185,24,4.4,38.5,10,132,6.68,4.02,N/A,N/A
Trevon Young,DE,Louisville,ACC,6-4,258,23,4.78,33,25,114,6.99,4.4,N/A,N/A
Matt Pryor,T,TCU,BIG 12,6-5,309,23,5.08,28,22,104,7.68,4.78,N/A,N/A
Equanimeous St. Brown,WR,Notre Dame,Independent,6-5,214,21,4.48,36.5,20,124,6.82,4.15,N/A,N/A
Cedrick Wilson Jr.,WR,Boise State,Mountain West,6-2,197,22,4.55,37,9,121,6.89,4.23,N/A,N/A
Cornell Armstrong,CB,Southern Miss,C-USA,5-11,185,22,4.43,38,14,130,6.78,4.1,N/A,N/A
Braxton Berrios,WR,Miami (FL),ACC,5-9,184,22,4.48,34.5,11,118,6.82,4.12,N/A,N/A
Jordan Thomas,TE,Mississippi State,SEC,6-5,265,22,4.74,27,16,111,7.5,4.75,N/A,N/A
Greg Senat,T,Wagner,NEC,6-6,302,23,5.38,26,19,106,7.41,4.71,N/A,N/A
Colby Gossett,G,Appalachian State,Sun Belt,6-5,311,23,5.2,25,32,103,7.6,4.83,N/A,N/A
Peter Kalambayi,LB,Stanford,ACC,6-3,252,23,4.57,34,19,121,7.13,4.36,N/A,N/A
Bradley Bozeman,C,Alabama,SEC,6-5,325,23,5.22,26.5,28,98,7.72,4.78,N/A,N/A
Azeem Victor,LB,Washington,PAC 12,6-1,240,22,4.72,32.5,19,115,7.2,4.4,N/A,N/A
Keishawn Bierria,ILB,Washington,PAC 12,6-2,230,23,4.79,30.5,21,117,7.26,4.4,N/A,N/A
Ade Aruna,DE,Tulane,AAC,6-6,262,24,4.6,38.5,18,128,7.53,4.48,N/A,N/A
Danny Etling,QB,LSU,SEC,6-2,222,24,4.76,30.5,N/A,114,7.09,4.37,56,0.7
Alex McGough,QB,Florida International,C-USA,6-3,215,22,4.88,31.5,N/A,112,7.02,4.38,55,0.69
Matthew Adams,LB,Houston,AAC,6-0,230,22,4.58,36,18,122,6.95,4.25,N/A,N/A
Jermaine Kelly,CB,San Jose State,Mountain West,6-0,200,23,4.49,38,13,123,6.78,4.07,N/A,N/A
Jullian Taylor,DT,Temple,AAC,6-0,190,23,4.65,34.5,16,119,7.28,4.62,N/A,N/A
Javon Wims,WR,Georgia,SEC,6-3,215,23,4.53,33.5,10,113,7,4.28,N/A,N/A
Devante Downs,LB,California,PAC 12,6-2,250,22,4.6,34.5,18,120,6.95,4.28,N/A,N/A
David Williams,RB,Arkansas,SEC,6-3,241,24,4.78,31,15,114,7.09,4.34,N/A,N/A
Quentin Poling,LB,Ohio,MAC,6-1,235,24,4.68,33,16,116,7.02,4.32,N/A,N/A
Marcell Ateman,WR,Oklahoma State,BIG 12,6-4,216,23,4.62,34,13,121,7.07,4.25,N/A,N/A
Jason Sanders,K,New Mexico,Mountain West,190,5-11,22,4.82,29,10,106,7.18,4.42,N/A,N/A
Leon Jacobs,OLB,Wisconsin,Big 10,6-3,248,22,4.8,33,21,121,6.97,4.28,N/A,N/A
Travin Howard,OLB,TCU,BIG 12,6-1,220,22,4.62,34.5,18,120,6.92,4.22,N/A,N/A
James Looney,DE,California,PAC 12,6-3,287,23,4.89,35.5,28,113,7.32,4.37,N/A,N/A
Jordan Mailata,T,,,6-8,346,21,5.22,26.5,22,98,7.82,4.88,N/A,N/A
Andre Smith,ILB,North Carolina,ACC,6-0,237,21,4.63,33,19,116,6.98,4.28,N/A,N/A
Zaire Franklin,LB,Syracuse,ACC,6-0,235,22,4.62,35.5,20,121,6.95,4.28,N/A,N/A
Bo Scarbrough,RB,Alabama,SEC,6-1,228,23,4.52,40,14,129,7.02,4.34,N/A,N/A
Nick Bawden,RB,San Diego State,Mountain West,6-2,245,22,4.68,32.5,18,114,7.08,4.38,N/A,N/A
Zach Sieler,DE,Ferris State,GLIAC,6-6,300,23,4.92,30,24,108,7.38,4.52,N/A,N/A
Hunter Bradley,LS,Mississippi State,SEC,6-3,240,24,5.08,28,14,98,7.48,4.62,N/A,N/A
Richie James,WR,Middle Tennessee,C-USA,5-10,183,23,4.48,35.5,6,122,6.87,4.16,N/A,N/A
